destination_city,hotel_name,category,estimated_price_usd,estimated_price_eur,hotel_website,hotel_type,distance_to_city_center_km
Tokyo HND,Grand Tokyo Hotel,4,176.49,162.37,https://www.grandtokyohotel.com,"Boutique Hotel: Pequeño, diseño único y atención personalizada.",27.69
Tokyo HND,Royal Tokyo Hotel,3,244.09,224.56,https://www.royaltokyohotel.com,Eco-Lodge: Enfocado en sostenibilidad y naturaleza.,10.02
Tokyo HND,Urban Tokyo Retreat,3,97.97,90.13,https://www.urbantokyoretreat.com,"Business Hotel: Ubicado en zonas comerciales, diseñado para negocios.",19.54
Tokyo HND,Elite Tokyo Haven,5,271.53,249.81,https://www.elitetokyohaven.com,"Airport Hotel: Cerca de aeropuertos, ideal para estancias cortas.",19.89
Tokyo HND,Grand Tokyo Haven,5,429.6,395.23,https://www.grandtokyohaven.com,"Hostal o Albergue: Económico, alojamiento compartido.",28.4
Tokyo HND,Comfort Tokyo Villa,5,375.93,345.86,https://www.comforttokyovilla.com,"Airport Hotel: Cerca de aeropuertos, ideal para estancias cortas.",24.79
Tokyo HND,Grand Tokyo Hotel,3,163.73,150.63,https://www.grandtokyohotel.com,"Hostal o Albergue: Económico, alojamiento compartido.",29.41
Tokyo HND,Royal Tokyo Hotel,4,138.64,127.55,https://www.royaltokyohotel.com,"Business Hotel: Ubicado en zonas comerciales, diseñado para negocios.",28.41
Tokyo HND,Paradise Tokyo Resort,5,190.14,174.93,https://www.paradisetokyoresort.com,"Business Hotel: Ubicado en zonas comerciales, diseñado para negocios.",8.49
Tokyo HND,Sunset Tokyo Suites,5,248.8,228.9,https://www.sunsettokyosuites.com,"Resort: Ubicado en destinos turísticos, con actividades recreativas.",22.51
Tokyo HND,Elite Tokyo Retreat,5,278.69,256.39,https://www.elitetokyoretreat.com,"Boutique Hotel: Pequeño, diseño único y atención personalizada.",11.44
Tokyo HND,Comfort Tokyo Resort,5,406.14,373.65,https://www.comforttokyoresort.com,"Hostal o Albergue: Económico, alojamiento compartido.",11.16
Tokyo HND,Sunset Tokyo Suites,4,124.19,114.25,https://www.sunsettokyosuites.com,"Hostal o Albergue: Económico, alojamiento compartido.",1.05
Tokyo HND,Elite Tokyo Inn,5,198.78,182.88,https://www.elitetokyoinn.com,"Resort: Ubicado en destinos turísticos, con actividades recreativas.",24.82
Tokyo HND,Heritage Tokyo Residence,4,252.5,232.3,https://www.heritagetokyoresidence.com,"Business Hotel: Ubicado en zonas comerciales, diseñado para negocios.",24.18
Tokyo HND,Elite Tokyo Suites,4,315.4,290.17,https://www.elitetokyosuites.com,"Hostal o Albergue: Económico, alojamiento compartido.",29.3
Tokyo HND,Sunset Tokyo Inn,5,403.62,371.33,https://www.sunsettokyoinn.com,"Boutique Hotel: Pequeño, diseño único y atención personalizada.",0.81
Tokyo HND,Comfort Tokyo Palace,5,416.54,383.22,https://www.comforttokyopalace.com,"Boutique Hotel: Pequeño, diseño único y atención personalizada.",17.05
Tokyo HND,Paradise Tokyo Lodge,4,144.17,132.64,https://www.paradisetokyolodge.com,"Business Hotel: Ubicado en zonas comerciales, diseñado para negocios.",8.29
Tokyo HND,Urban Tokyo Inn,4,301.71,277.57,https://www.urbantokyoinn.com,"Hostal o Albergue: Económico, alojamiento compartido.",5.45
Tokyo HND,Paradise Tokyo Lodge,3,215.03,197.83,https://www.paradisetokyolodge.com,"Business Hotel: Ubicado en zonas comerciales, diseñado para negocios.",10.72
Tokyo HND,Royal Tokyo Suites,3,231.14,212.65,https://www.royaltokyosuites.com,Eco-Lodge: Enfocado en sostenibilidad y naturaleza.,8.97
Tokyo HND,Heritage Tokyo Resort,3,197.71,181.89,https://www.heritagetokyoresort.com,"Business Hotel: Ubicado en zonas comerciales, diseñado para negocios.",16.55
Tokyo HND,Paradise Tokyo Resort,5,477.3,439.12,https://www.paradisetokyoresort.com,Eco-Lodge: Enfocado en sostenibilidad y naturaleza.,27.59
Tokyo HND,Comfort Tokyo Villa,4,383.43,352.76,https://www.comforttokyovilla.com,"Business Hotel: Ubicado en zonas comerciales, diseñado para negocios.",15.7
Tokyo HND,Luxe Tokyo Residence,4,380.2,349.78,https://www.luxetokyoresidence.com,"Resort: Ubicado en destinos turísticos, con actividades recreativas.",22.3
Tokyo HND,Heritage Tokyo Hotel,4,138.56,127.48,https://www.heritagetokyohotel.com,"Boutique Hotel: Pequeño, diseño único y atención personalizada.",28.61
Tokyo HND,Luxe Tokyo Inn,3,100.14,92.13,https://www.luxetokyoinn.com,"Resort: Ubicado en destinos turísticos, con actividades recreativas.",25.98
Tokyo HND,Luxe Tokyo Retreat,4,213.46,196.38,https://www.luxetokyoretreat.com,"Boutique Hotel: Pequeño, diseño único y atención personalizada.",3.96
Tokyo HND,Paradise Tokyo Retreat,5,354.28,325.94,https://www.paradisetokyoretreat.com,Eco-Lodge: Enfocado en sostenibilidad y naturaleza.,3.47
Tokyo HND,Heritage Tokyo Resort,3,140.23,129.01,https://www.heritagetokyoresort.com,"Hostal o Albergue: Económico, alojamiento compartido.",7.28
Tokyo HND,Paradise Tokyo Residence,4,307.1,282.53,https://www.paradisetokyoresidence.com,"Hostal o Albergue: Económico, alojamiento compartido.",9.43
Tokyo HND,Sunset Tokyo Villa,5,400.42,368.39,https://www.sunsettokyovilla.com,Eco-Lodge: Enfocado en sostenibilidad y naturaleza.,25.65
Tokyo HND,Ocean Tokyo Hotel,4,212.7,195.68,https://www.oceantokyohotel.com,Eco-Lodge: Enfocado en sostenibilidad y naturaleza.,18.99
Tokyo HND,Grand Tokyo Hotel,5,259.05,238.33,https://www.grandtokyohotel.com,Eco-Lodge: Enfocado en sostenibilidad y naturaleza.,7.78
Tokyo HND,Elite Tokyo Resort,4,232.19,213.61,https://www.elitetokyoresort.com,"Hostal o Albergue: Económico, alojamiento compartido.",28.64
Tokyo HND,Grand Tokyo Residence,4,379.82,349.43,https://www.grandtokyoresidence.com,"Airport Hotel: Cerca de aeropuertos, ideal para estancias cortas.",3.45
Tokyo HND,Luxe Tokyo Retreat,4,341.31,314.01,https://www.luxetokyoretreat.com,"Hostal o Albergue: Económico, alojamiento compartido.",20.08
Tokyo HND,Grand Tokyo Retreat,5,178.51,164.23,https://www.grandtokyoretreat.com,Eco-Lodge: Enfocado en sostenibilidad y naturaleza.,8.11
Tokyo HND,Luxe Tokyo Villa,3,204.76,188.38,https://www.luxetokyovilla.com,"Resort: Ubicado en destinos turísticos, con actividades recreativas.",10.65
Tokyo HND,Royal Tokyo Haven,4,267.18,245.81,https://www.royaltokyohaven.com,"Boutique Hotel: Pequeño, diseño único y atención personalizada.",20.46
Tokyo HND,Ocean Tokyo Residence,5,235.0,216.2,https://www.oceantokyoresidence.com,"Resort: Ubicado en destinos turísticos, con actividades recreativas.",2.42
Tokyo HND,Paradise Tokyo Palace,4,189.24,174.1,https://www.paradisetokyopalace.com,"Hostal o Albergue: Económico, alojamiento compartido.",23.49
Tokyo HND,Heritage Tokyo Inn,3,254.2,233.86,https://www.heritagetokyoinn.com,"Boutique Hotel: Pequeño, diseño único y atención personalizada.",16.39
